2752,,
General,0.0.3,Damage Scaling will no longer affect Online Matches.
General,1.4.11 - Hotfix,The background creatures on The Forest Floor will no longer watch Forsburn when he’s behind smoke or has a clone out.
General,1.4.12,The results screen will no longer ignore Forsburn’s victories on The Forest Floor.
General,1.4.12,Run stop can no longer be cancelled into initial dash on the first 2 frames.
General,1.4.12 - Hotfix,Something seems different about Blazing Hideout... (New art)
General,1.4.12 - Hotfix,Respawn height of 1v1 Forest Floor lowered by a few pixels
General,1.4.12 - Hotfix,Purple kill effect calculations will now work correctly on players who were hit while wavelanding
General,1.4.12 - Hotfix,Stage bans are now colored according to the player who banned the stage
General,1.4.12 - Hotfix,Added Latin 1 Unicode set for custom language support (allows letters like Ñ)
General,1.4.13,"Airdodging horizontally or downward toward the ledge while slightly under it (up to 16px) will now raise you onto the ledge, similar to wavelanding while slightly under a platform."
General,1.4.13,Shorthop and Fullhop buttons should now buffer correctly offline.
General,1.4.13,Moves that throw rock can no longer do so while the rock is already in hitpause.
General,1.4.13,Armoring through an attack will no longer restore your walljump.
General,1.4.13,Idle/crouching hurtboxes that reached 1px below platforms have been raised 1px.
General,1.4.13,"While in grounded hitstun, characters will use their normal hurtbox instead of their hitstun hurtbox."
General,1.4.13,Transitioning from dtilt to crouch will no longer give you a standing hurtbox for 1 frame.
General,1.4.13,"Bug Re-Fix: During the hitpause of the purple kill effect, moving platforms can no longer move the hit player (When this was fixed in 1.4.9, it created a new bug. Upon fixing that bug, this one re-broke. Now both bugs should be fixed)."
General,1.4.13,Parried projectiles that cause parry stun now only cap their owner’s speed when they aren’t in hitstun.
General,1.4.14,Holding special will no longer count as holding jump during a wall cling.
General,1.4.14,The purple kill effect now ignores Kragg’s pillar and rock (necessary for optimization).
General,1.4.15,Halloween colors are back! This year Rivals are wearing their costumes before the match starts.
General,1.4.15,You can no longer fastfall after being parried.
General,1.4.15,With strong attack option on: letting go of the direction before pressing attack will no longer activate a strong attack.
General,1.4.15,Hitting Eid (the guy in Tower of Heaven’s window) will no longer cause hitpause for the attacker.
General,1.4.16,Grounded opponents can no longer SDI vertically (bug introduced in a recent patch that allowed grounded spikes to be teched and caused false purple kill effects)
General,1.4.17,DLC characters can now be spawned while playtesting.
General,1.4.17,Up and down hard press buffers are now cleared at the start of the initial dash state. This prevents unintentional moonwalks when trying to dash dance immediately after pressing down/up.
General,1.4.17,Outward hitting moves (such as SK’s War Horn) now calculate hitstun based on the actual knockback received instead of the base knockback and scaling values of the hitbox. This means that hitting with the lower angles of the move will result in less hitstun.
General,1.4.17,"When an attack hits while the attacker is already in hitpause, the new hitpause will now overwrite the previous hitpause ONLY if the new hitpause is greater than that of the previous hitpause. Previously, the attacker’s hitpause could never be overwritten."
General,1.4.18,"If a normal hitbox with low priority and a projectile hitbox with high priority both hit a projectile-immune opponent at the same time, the projectile will no longer make the physical hitbox miss."
General,1.4.20,Basic version of Merchant Port/Swampy Estuary dimensions fixed to match the Aether version (side blastzones increased by 2px). This fixes a bug with Sylvanos on Merchant Port that allowed him to grow grass underneath already existing grass.
General,1.4.21,Hitboxes that hit on their last active frame will no longer disappear during hitpause.
General,1.4.21,Most projectiles now have their hitboxes visible in training mode.
General,1.4.21,Red team will always start the match on the left side of the stage.
General,1.4.21,Waveland is now jump-cancellable on frame 4 for all characters (was previously frame 6 for heavy characters).
General,1.4.21,"Fixed a bug that allowed players to crouch in the air for 1 frame, restoring their airdodge."
General,1.4.21,Strong Attack mechanics adjusted to work consistently regardless of control scheme. Strong Attack is now always a 3-frame input. Previously was a 6-frame input with a joystick and a 4-frame input with keyboard/dpad.
General,1.4.22,The game should no longer crash when hovering over a replay saved from the workshop branch.
General,1.4.22,Buffering an attack after a parried jab will no longer put you in parry stun. This does not apply to anything that would cancel the jab.
General,1.4.22,Stage collision extended by 1000px downward to prevent objects like Ranno’s bubble from getting stuck under the stage.
General,1.4.22,Playtest room platforms raised 4px to match the average platform height.
General,1.4.22,Pressing jump and special at the same time while the special is on cooldown will no longer perform a grounded double jump.
General,1.4.22,You can now perform all character-specific special cancels with the right stick set to Special.
General,1.4.23,The game should no longer crash when hovering over a replay saved from the workshop branch (this time for real)
General,1.4.24,You can now start training mode with only 1 player.
General,1.4.24,"If hitpause is interrupted by another hit, your ASDI will happen immediately. ASDI is still checked in the middle of hitpause, so you won’t be able to ASDI if hitpause is interrupted before then."
General,1.4.24,Incompatible replays will now show the version number in the replay menu.
General,1.4.24,Holding the walk button will now prevent tap jumping with the dpad/keyboard controls.
General,1.4.24,"Dashing left now behaves identically to dashing right. Previously, dashing left would override dashing right, while pivoting right would override pivoting left, leading to inconsistencies in both empty pivots and pivot babydashes."
General,1.4.25,Added angle flipper 10. This sends in the direction that the player is moving.
General,1.4.25,When set to “Run” the training mode AI will now turn around when hitting a wall.
General,1.4.25,Extended parry stun minimum value increased from 50 frames > 60 frames. Maximum value is still 100 frames.
General,1.4.25,"Spirit Tree side blastzones expanded by 32px.
Dan: This change is to decrease the extremely early KOs we are seeing off the side platforms."
General,1.4.25,"Spirit Tree top blastzone expanded by 8px.
Dan: This change is to bring Spirit Tree’s ceiling closer to other stages so it is not as contentious of a counter-pick."
General,1.4.25,Bug Fix: Aether Rock Wall pillars will no longer move while the game is paused.
General,2.0.6.0,Fixed custom stage data making CPUs not recover correctly.
General,2.0.6.0,Fixed a crash from spawning playtest CPUs until you spawned Shovel Knight.
General,2.0.6.0,"Fixed Various UI alignment fixes, things overlapping, etc."
General,2.0.6.0,Fixed lots of edge-case crash fixes.
General,2.0.6.0,Elliana no longer permanently eats Orby in her tutorial with Utilt.
General,2.0.6.0,Maypul marks should now have the correct color if parried.
General,2.0.6.1,Fixed Sein just up and disappearing for a few frames.
